NR_REF;POSTO_GRADUACAO;QUADRO;RACA
1;CEL     ;QOPM;NAO INF.  
2;CEL     ;QOPM;NAO INF.  
3;CEL     ;QOPM;PARDO     
4;CEL     ;QOPM;AMARELO   
5;CEL     ;QOPM;AMARELO   
6;CEL     ;QOPM;NAO INF.  
7;CEL     ;QOPM;AMARELO   
8;CEL     ;QOPM;AMARELO   
9;CEL     ;QOPM;AMARELO   
10;CEL     ;QOPM;BRANCO    
11;CEL     ;QOPM;AMARELO   
12;CEL     ;QOPM;PARDO     
13;CEL     ;QOPM;BRANCO    
14;CEL     ;QOPM;AMARELO   
15;CEL     ;QOPM;BRANCO    
16;CEL     ;QOPM;BRANCO    
17;CEL     ;QOPM;BRANCO    
18;CEL     ;QOPM;PARDO     
19;CEL     ;QOPM;AMARELO   
20;CEL     ;QOPM;AMARELO   
21;CEL     ;QOPM;PARDO     
22;CEL     ;QOPM;BRANCO    
23;CEL     ;QOPM;BRANCO    
24;CEL     ;QOPM;BRANCO    
25;CEL     ;QOPM;PARDO     
26;CEL     ;QOPM;PARDO     
27;CEL     ;QOPM;PARDO     
28;CEL     ;QOPM;PARDO     
29;CEL     ;QOPM;PARDO     
30;CEL     ;QOPM;BRANCO    
31;CEL     ;QOPM;NAO INF.  
32;CEL     ;QOPM;PARDO     
33;CEL     ;QOPM;AMARELO   
34;CEL     ;QOPM;PARDO     
35;CEL     ;QOPM;BRANCO    
36;CEL     ;QOPM;NAO INF.  
37;CEL     ;QOPM;BRANCO    
38;CEL     ;QOPM;BRANCO    
39;CEL     ;QOPM;PARDO     
40;CEL     ;QOPM;BRANCO    
41;CEL     ;QOPM;PARDO     
42;CEL     ;QOPM;PARDO     
43;CEL     ;QOS ;NAO INF.  
44;CEL     ;QOPM;NAO INF.  
45;CEL     ;QOPM;PARDO     
46;TEN CEL ;QOPM;BRANCO    
47;TEN CEL ;QOPM;PARDO     
48;TEN CEL ;QOPM;PARDO     
49;TEN CEL ;QOPM;PARDO     
50;TEN CEL ;QOPM;AMARELO   
51;TEN CEL ;QOPM;PARDO     
52;TEN CEL ;QOPM;PRETO     
53;TEN CEL ;QOPM;AMARELO   
54;TEN CEL ;QOS ;PARDO     
55;TEN CEL ;QOPM;PRETO     
56;TEN CEL ;QOPM;BRANCO    
57;TEN CEL ;QOPM;BRANCO    
58;TEN CEL ;QOPM;PARDO     
59;TEN CEL ;QOPM;PARDO     
60;TEN CEL ;QOPM;PRETO     
61;TEN CEL ;QOS ;NAO INF.  
62;TEN CEL ;QOS ;BRANCO    
63;TEN CEL ;QOS ;NAO INF.  
64;TEN CEL ;QOPM;PARDO     
65;TEN CEL ;QOPM;BRANCO    
66;TEN CEL ;QOPM;PARDO     
67;TEN CEL ;QOPM;PARDO     
68;TEN CEL ;QOPM;AMARELO   
69;TEN CEL ;QOPM;NAO INF.  
